Headword|POS|Gender	TLFi sense Ids	TLFi senses	Semantic relation	Wiktionnaire senses	Wiktionnaire sense Ids	
gazon|noun|masculine						
https://www.cnrtl.fr/definition/37088						
http://kaiko.getalp.org/dbnary/fra/gazon__nom__1						
Def de “Motte de gazon”	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	related	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1	
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	related	(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis.	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1	
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	none	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1	
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	narrower	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1	
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	exact	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1	
	A._2.UND-2	Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc.	none	(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1	sous-def, pourquoi elle apparait ici ?
	A._UND-4	Cheveux.	none	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1	
	A._UND-4	Cheveux.	none	(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis.	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1	
	A._UND-4	Cheveux.	exact	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1	
	A._UND-4	Cheveux.	none	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1	
	A._UND-4	Cheveux.	none	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1	
	A._UND-4	Cheveux.	none	(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1	
	UND-5	Herbe très courte et très fine.	related	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1	
	UND-5	Herbe très courte et très fine.	exact	(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis.	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1	
	UND-5	Herbe très courte et très fine.	none	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1	
	UND-5	Herbe très courte et très fine.	narrower	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1	
	UND-5	Herbe très courte et très fine.	related	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1	
	UND-5	Herbe très courte et très fine.	related	(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage.	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1	
	UND-6	Surface couverte d'herbe courte et fine.	exact	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1	
	UND-6	Surface couverte d'herbe courte et fine.	related	(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis.	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1	
	UND-6	Surface couverte d'herbe courte et fine.	none	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1	
	UND-6	Surface couverte d'herbe courte et fine.	related	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1	
	UND-6	Surface couverte d'herbe courte et fine.	related	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1	
