Headword|POS|Gender	TLFi sense Ids	TLFi senses	Mathieu	Bruno	Hee-Soo	Wiktionnaire senses	Wiktionnaire sense Ids					
gazon|noun|masculine												
https://www.cnrtl.fr/definition/37088												
http://kaiko.getalp.org/dbnary/fra/gazon__nom__1												
	A._2.UND-2	"Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc."	related	related	related	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1	pas tout à fait				
	A._2.UND-2	"Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc."	related	related	related	"(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis."	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1					
	A._2.UND-2	"Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc."	none	none	none	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1					
	A._2.UND-2	"Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc."	related	related	related	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1					
	A._2.UND-2	"Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc."	exact	exact	exact	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1					
	A._2.UND-2	"Motte de terre carrée couverte de gazon que l'on découpe à la pelle, soit pour faire des pelouses artificielles, soit pour construire des cabanes, des digues, des rives, etc."	related	none	related	"(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage."	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1					
	A._UND-4	Cheveux.	none	none	none	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1					
	A._UND-4	Cheveux.	none	none	none	"(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis."	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1					
	A._UND-4	Cheveux.	exact	exact	exact	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1					
	A._UND-4	Cheveux.	none	none	none	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1					
	A._UND-4	Cheveux.	none	none	none	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1					
	A._UND-4	Cheveux.	none	none	none	"(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage."	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1					
	UND-5	Herbe très courte et très fine.	related	related	related	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1					
	UND-5	Herbe très courte et très fine.	exact	exact	exact	"(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis."	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1					
	UND-5	Herbe très courte et très fine.	none	none	none	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1					
	UND-5	Herbe très courte et très fine.	related	related	exact	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1					
	UND-5	Herbe très courte et très fine.	related	related	related	(Jardinage) Motte ou plaque de terre couverte d’herbe que l’on découpe à la bêche ou avec une machine et qui sert à recouvrir une surface dépourvue de végétation.	http://kaiko.getalp.org/dbnary/fra/__ws_5_gazon__nom__1					
	UND-5	Herbe très courte et très fine.	related	related	related	"(Spécialement) (Histoire) Épaisseur de la végétation, feuilles et racines, qui pouvait être soumis à l’essartage."	http://kaiko.getalp.org/dbnary/fra/__ws_3_gazon__nom__1					
	UND-6	Surface couverte d'herbe courte et fine.	exact	exact	exact	(Par métonymie) Surface couverte de cette herbe.	http://kaiko.getalp.org/dbnary/fra/__ws_4_gazon__nom__1					
	UND-6	Surface couverte d'herbe courte et fine.	related	related	related	"(Jardinage) Herbe courte et fine, le plus souvent en parlant des graminées et spécialement un mélange de ray-grass anglais, de fétuques et d’agrostis."	http://kaiko.getalp.org/dbnary/fra/__ws_2_gazon__nom__1					
	UND-6	Surface couverte d'herbe courte et fine.	none	none	none	(Familier) (Vieilli) Chevelure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_gazon__nom__1					
	UND-6	Surface couverte d'herbe courte et fine.	related	related	exact	(Botanique) Végétation courte de plantes herbacées.	http://kaiko.getalp.org/dbnary/fra/__ws_1_gazon__nom__1					
